timestamp,inference_id,batch_size,inference_time,throughput,gpu_util,gpu_mem,power,cpu_util,power_efficiency
1771094837.2548134,inference_0,32,0.03283469999996669,974.578723120128,45.0,519.0,34.44,25.0,28.29787233217561
1771094837.2887251,inference_1,32,0.03238069999997606,988.2429966005571,98.0,519.0,34.44,37.9,28.694628240434298
1771094837.322212,inference_2,32,0.031980299999759154,1000.6160042351383,98.0,519.0,34.44,54.1,29.05389094759403
1771094837.354347,inference_3,32,0.03199449999965509,1000.171904556876,98.0,519.0,35.98,51.5,27.79799623559967
1771094837.386933,inference_4,32,0.03164419999984602,1011.2437666351403,98.0,519.0,35.98,45.0,28.105718917041145
1771094837.4209774,inference_5,32,0.03227950000018609,991.3412537311768,98.0,519.0,35.98,35.1,27.552564028103863
1771094837.4541774,inference_6,32,0.03225539999993998,992.081945970583,98.0,519.0,37.57,33.3,26.406226935602422
1771094837.4876153,inference_7,32,0.03211989999999787,996.2671116660426,98.0,519.0,37.57,41.9,26.517623414054903
1771094837.5207164,inference_8,32,0.03220599999986007,993.6036763379195,97.0,519.0,39.15,53.1,25.37940424873358
1771094837.553427,inference_9,32,0.03198320000001331,1000.5252757693627,97.0,519.0,39.15,26.5,25.556201169076953
1771094837.5861728,inference_10,32,0.03173139999989871,1008.4648014301968,97.0,519.0,39.15,31.0,25.758998759392
1771094837.6198406,inference_11,32,0.03296309999996083,970.7824810178055,97.0,519.0,40.75,28.6,23.822882969762098
1771094837.6534925,inference_12,32,0.03267580000010639,979.3180274054746,97.0,519.0,40.75,41.7,24.032344230809194
1771094837.6928394,inference_13,32,0.03883739999992031,823.9480500771334,97.0,519.0,40.75,25.7,20.2195840509726
1771094837.7479699,inference_14,32,0.05351169999994454,598.0000635381265,96.0,519.0,42.24,32.3,14.15719847391398
1771094837.8020778,inference_15,32,0.05374339999980293,595.4219494880737,96.0,519.0,43.05,34.7,13.8309395932189
1771094837.8430696,inference_16,32,0.04006260000005568,798.7499563172516,96.0,519.0,43.05,52.9,18.55400595394313
1771094837.8788655,inference_17,32,0.0348573999999644,918.0260145631253,96.0,519.0,43.05,29.8,21.3246460990273
1771094837.9128065,inference_18,32,0.033140999999886844,965.5713466735843,97.0,519.0,44.19,31.2,21.850449121375522
1771094837.9460826,inference_19,32,0.03210690000014438,996.67049761441,97.0,519.0,44.19,53.8,22.554209043095952
1771094837.980266,inference_20,32,0.033343499999773485,959.7072892832903,97.0,519.0,44.19,27.1,21.71774811684296
1771094838.014305,inference_21,32,0.03240619999996852,987.465361567573,97.0,519.0,44.19,31.6,22.345900918026093
1771094838.0468905,inference_22,32,0.03199140000015177,1000.2688222412332,97.0,519.0,44.19,59.3,22.635637525259863
1771094838.0805695,inference_23,32,0.032664199999999255,979.6658115000744,97.0,519.0,45.58,39.3,21.493326272489565
1771094838.1134005,inference_24,32,0.03240649999997913,987.4562202033729,97.0,519.0,44.71,16.7,22.085802285917534
1771094838.1460094,inference_25,32,0.03225369999972827,992.1342357704572,97.0,519.0,44.71,46.9,22.190432470822124
1771094838.1807446,inference_26,32,0.033258399999795074,962.162942300206,97.0,519.0,44.71,43.8,21.520083701637354
1771094838.214133,inference_27,32,0.032820299999912095,975.0063223092326,97.0,519.0,44.71,35.1,21.807343375290372
1771094838.247242,inference_28,32,0.032425599999896804,986.8745682455171,97.0,519.0,44.66,35.0,22.097504886823046
1771094838.2812467,inference_29,32,0.032571099999586295,982.4660512051006,97.0,519.0,44.66,41.4,21.998792010862083
1771094838.313864,inference_30,32,0.03239620000022114,987.7701705688186,97.0,519.0,44.66,27.3,22.117558678209104
1771094838.34742,inference_31,32,0.031944600000315404,1001.7342524146194,97.0,519.0,44.65,31.2,22.435257612869417
1771094838.380448,inference_32,32,0.03273829999989175,977.4484319621303,97.0,519.0,44.65,55.6,21.891342261189926
1771094838.4139192,inference_33,32,0.03255119999994349,983.06667649904,97.0,519.0,44.65,24.3,22.017170806249496
1771094838.4471495,inference_34,32,0.032157200000256125,995.1115146761884,97.0,519.0,44.69,30.3,22.26698399364933
1771094838.480175,inference_35,32,0.033014099999945756,969.2828215838862,97.0,519.0,44.69,37.5,21.689031586124106
1771094838.5140033,inference_36,32,0.03250069999967309,984.594177981455,97.0,519.0,44.69,28.6,22.031644170540503
1771094838.547396,inference_37,32,0.03221010000015667,993.4772012457071,97.0,519.0,44.67,75.8,22.24036716466772
1771094838.5804393,inference_38,32,0.03276210000012725,976.7383653635057,97.0,519.0,44.67,29.0,21.86564507193879
1771094838.6138844,inference_39,32,0.032687500000065484,978.9674952179241,97.0,519.0,44.67,29.3,21.915547240159484
1771094838.6489038,inference_40,32,0.03470739999966099,921.9935806287006,97.0,519.0,44.67,35.3,20.640107021014114
1771094838.6889231,inference_41,32,0.038832299999739917,824.0562624468374,97.0,519.0,44.67,30.6,18.447644111189554
1771094838.7309766,inference_42,32,0.040475899999819376,790.5939089715806,97.0,519.0,44.51,54.3,17.762163760314102
1771094838.772179,inference_43,32,0.04029590000027383,794.1254569269465,97.0,519.0,44.51,42.9,17.84150655868224
1771094838.8110569,inference_44,32,0.038640400000076625,828.1487769261329,97.0,519.0,44.51,51.9,18.60590377277315
1771094838.84925,inference_45,32,0.03701309999996738,864.558764330148,97.0,519.0,44.27,40.6,19.529224403210932
1771094838.8853211,inference_46,32,0.03587419999985286,892.0059541434024,97.0,519.0,44.27,61.8,20.149219655373894
1771094838.921006,inference_47,32,0.03450390000034531,927.4313918043974,97.0,519.0,44.73,40.8,20.733990427104796
